payment_month,payment_count,cash_inflow,avg_days_to_pay
2024-12,29,356865.78,28.1
2025-01,137,5549339.43,40.4
2025-02,105,4961098.16,44.1
2025-03,129,5753120.58,48.8
2025-04,124,5789569.6,48.2
2025-05,151,6594788.53,49.4
2025-06,130,7092994.6,49.0
2025-07,142,6372674.63,49.1
2025-08,110,4429295.71,48.3
2025-09,117,5349645.81,45.5
2025-10,110,3858524.47,47.4
2025-11,135,5738278.14,46.9
2025-12,124,6172766.67,50.1
2026-01,136,4940103.93,44.6
2026-02,157,7394313.64,48.7
2026-03,110,5407177.99,49.6
2026-04,107,4277264.68,49.9
2026-05,32,1672712.1,52.1
