invoice_month,avg_days_to_pay,monthly_sales,open_ar
2024-11,83.8,4060732.89,213505.43
2024-12,77.2,7945575.77,347218.39
2025-01,104.3,5382062.48,357830.49
2025-02,71.6,5908082.34,228657.24
2025-03,73.0,6554424.37,438286.04
2025-04,63.7,8106338.09,368575.08
2025-05,63.7,6492923.75,202478.7
2025-06,62.4,4736311.89,323007.66
2025-07,78.8,5631630.83,794637.73
2025-08,61.6,4555467.7,373287.51
2025-09,60.2,5922596.99,209718.68
2025-10,58.4,7842985.67,691551.67
2025-11,61.2,5200267.7,618499.19
2025-12,57.5,7393363.49,575081.7
2026-01,52.7,6342375.38,879467.36
2026-02,50.5,4671416.2,1211657.98
2026-03,45.7,5934812.63,3174661.88
2026-04,24.6,5421381.32,5384092.31
2026-05,4.9,1743601.29,1743601.29
